IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.13.166,4,4,0.00,373.34,0.00
104.18.172.80,4,4,0.00,373.66,0.00
104.19.220.91,4,4,0.00,375.40,0.00
104.19.218.165,4,4,0.00,376.11,0.00
104.17.216.242,4,4,0.00,377.39,0.00
104.17.209.46,4,4,0.00,378.24,0.00
104.19.151.196,4,4,0.00,378.76,0.00
104.16.65.157,4,4,0.00,379.11,0.00
104.19.144.194,4,4,0.00,379.63,0.00
104.17.212.42,4,4,0.00,380.90,0.00
104.16.31.146,4,4,0.00,382.98,0.00
104.18.1.73,4,4,0.00,383.10,0.00
104.16.141.148,4,4,0.00,385.03,0.00
104.17.227.154,4,4,0.00,387.44,0.00
104.18.82.169,4,4,0.00,388.45,0.00
104.16.131.232,4,4,0.00,389.50,0.00
104.16.156.40,4,4,0.00,392.54,0.00
104.17.210.59,4,4,0.00,392.58,0.00
104.16.162.110,4,4,0.00,394.36,0.00
104.19.118.161,4,4,0.00,403.69,0.00
104.19.57.49,4,4,0.00,516.73,0.00
104.18.62.245,4,3,0.25,155.85,0.00
104.19.240.114,4,3,0.25,157.82,0.00
104.18.126.173,4,3,0.25,158.28,0.00
104.19.138.172,4,3,0.25,158.42,0.00
104.21.228.24,4,3,0.25,158.60,0.00
104.18.24.196,4,3,0.25,158.99,0.00
104.19.133.250,4,3,0.25,159.34,0.00
104.19.136.27,4,3,0.25,159.45,0.00
104.19.139.35,4,3,0.25,159.46,0.00
104.19.246.98,4,3,0.25,159.90,0.00
104.21.224.139,4,3,0.25,160.02,0.00
104.18.114.12,4,3,0.25,160.33,0.00
104.18.20.218,4,3,0.25,160.61,0.00
104.19.134.140,4,3,0.25,160.86,0.00
104.19.128.43,4,3,0.25,161.06,0.00
104.18.125.118,4,3,0.25,161.11,0.00
104.19.129.22,4,3,0.25,161.96,0.00
104.19.135.123,4,3,0.25,162.07,0.00
104.19.78.72,4,3,0.25,162.53,0.00
104.19.131.76,4,3,0.25,162.84,0.00
104.18.123.116,4,3,0.25,163.17,0.00
104.19.132.102,4,3,0.25,163.75,0.00
104.19.141.81,4,3,0.25,165.12,0.00
104.21.226.225,4,3,0.25,165.77,0.00
104.16.126.125,4,3,0.25,166.21,0.00
104.16.118.139,4,3,0.25,166.76,0.00
